Name,Profile Link,Location,Avvo Rating,Details Snippet
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
Name not found,Link not found,"New York, NY",David G. Katona,PRO
Name not found,Link not found,"New York, NY",Rating not found,Licensed for X years
,https://www.avvo.com/attorneys/10019-ny-glen-raj-1154063.html,"225 W 34th St Ste 1303, New York, NY",9.5,"Practice Areas: 
               Immigration, Corporate & Incorporation"
,https://www.avvo.com/attorneys/10019-ny-glen-raj-1154063.html,"New York, NY",9.5,"Practice Areas: 
               Immigration, Corporate & Incorporation"
,https://www.avvo.com/attorneys/10013-ny-matthew-guadagno-922132.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10122-ny-jeffrey-slatus-3820758.html,"225 W 34th St Ste 1303, New York, NY",8.6,"Practice Areas: 
               Immigration, Uncontested Divorce"
,https://www.avvo.com/attorneys/10520-ny-jason-stern-933141.html,"New York, NY",10,"Practice Areas: 
               Immigration, Criminal Defense, Employment & Labor and more"
,https://www.avvo.com/attorneys/10016-ny-radu-vasilescu-3811563.html,"New York, NY",8.7,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10004-ny-norka-schell-3802060.html,"New York, NY",9.1,"Practice Areas: 
               Immigration, Divorce & Separation, International Law and more"
,https://www.avvo.com/attorneys/10122-ny-david-molot-1004743.html,"New York, NY",8.9,"Practice Areas: 
               Immigration, Criminal Defense, Family and more"
,https://www.avvo.com/attorneys/10033-ny-manuel-portela-921022.html,"New York, NY",10,"Practice Areas: 
               Immigration, Criminal Defense, Family and more"
,https://www.avvo.com/attorneys/10007-ny-levan-natalishvili-3811033.html,"New York, NY",9.0,"Practice Areas: 
               Immigration, Criminal Defense"
,https://www.avvo.com/attorneys/10001-ny-jennifer-oltarsh-924782.html,"New York, NY",9.2,"Practice Areas: 
               Immigration, Personal Injury, Discrimination and more"
,https://www.avvo.com/attorneys/10601-ny-altin-nanaj-4517592.html,"New York, NY",8.6,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10007-ny-corey-lee-1891190.html,"Bio: Corey T. Lee is the founder and managing partner of C.T. Lee & Associates. Corey has extensive experience representing NYC based (Manhattan, Brooklyn, Queens, Bronx, Staten Island) real estate clients on the buy side and sell side for residential ...",10,"Practice Areas: 
               Immigration, Litigation, Real Estate and more"
,https://www.avvo.com/attorneys/10004-ny-simone-bertollini-4138277.html,"New York, NY",10,"Practice Areas: 
               Immigration, Appeals, Litigation and more"
,https://www.avvo.com/attorneys/02108-ma-gregory-romanovsky-1328951.html,"New York, NY",10,"Practice Areas: 
               Immigration"
,https://www.avvo.com/attorneys/10007-ny-hui-zeng-4551645.html,"Bio: For legal consultation, please email: or call our office: . Please do not use AVVO internal message system as it may not forward your message to our email. Thank you! From her New York City law firm, Zeng Law Group, PLLC, attorney Hui Zeng provide...",10,"Practice Areas: 
               Immigration, Real Estate, Trademark Application"
,https://www.avvo.com/attorneys/10005-ny-merium-malik-4545767.html,"New York, NY",10,"Practice Areas: 
               Immigration"
